1000;790.242981;319.603302
2000;1569.182983;645.789062
3000;2326.694092;969.229004
4000;3193.846924;1261.996948
5000;3874.336914;1624.840942
6000;4612.547852;1976.705322
7000;5573.354980;2242.222900
8000;6292.358887;2585.752686
9000;6941.930176;2912.152588
10000;7897.320801;3172.789551
11000;8654.984375;3493.735596
12000;9500.078125;3932.217041
13000;10278.469727;4114.513672
14000;10823.283203;4494.380371
15000;11672.442383;4908.535645
16000;12690.081055;5104.584961
17000;13357.905273;5474.454102
18000;14650.111328;5435.871582
19000;14990.028320;5980.174805
20000;15582.964844;6534.759766
21000;16608.236328;6690.675781
22000;17484.341797;6906.593750
23000;18093.480469;7270.461426
24000;18702.580078;7704.191895
25000;19559.916016;8299.371094
26000;20955.072266;7756.256348
27000;21574.273438;8326.879883
28000;21561.707031;9310.556641
29000;23277.126953;9071.385742
30000;23319.085938;9618.712891
31000;24858.556641;9582.187500
32000;24774.437500;10649.561523
33000;25766.607422;10602.718750
34000;26436.578125;11153.719727
35000;27065.593750;11322.945312
36000;27953.728516;11805.429688
37000;29413.833984;11533.351562
38000;30218.048828;11942.534180
39000;31229.103516;12137.704102
40000;31777.488281;12676.738281
41000;32492.345703;13103.949219
42000;33008.175781;13355.055664
43000;33219.253906;14053.342773
44000;34277.429688;14311.999023
45000;35007.976562;14615.127930
46000;36584.726562;14390.082031
47000;36917.785156;14824.798828
48000;38374.699219;14955.605469
49000;38870.117188;15323.023438
50000;38748.812500;16322.894531
