1000;25.743999;4.789622
2000;24.615000;4.224304
3000;28.136000;5.065126
4000;27.379000;4.809923
5000;26.580000;5.119137
6000;27.309999;4.922185
7000;27.423000;5.155782
8000;26.677000;5.004860
9000;27.115000;5.199595
10000;27.700001;4.811441
11000;29.035000;4.764009
12000;28.079000;4.709649
13000;29.798000;5.185289
14000;27.948000;5.248362
15000;29.177000;5.479030
16000;27.545000;4.636158
17000;28.719000;5.363206
18000;29.243000;5.598743
19000;29.931000;5.319983
20000;29.605000;5.275886
21000;27.200001;4.968899
22000;28.657000;5.478810
23000;29.024000;5.280852
24000;28.634001;4.689780
25000;28.579000;5.191894
26000;27.931999;4.986118
27000;30.379000;5.935773
28000;29.816000;5.392418
29000;29.098000;5.291355
30000;28.667000;5.203301
31000;30.187000;6.143285
32000;30.059999;5.481277
33000;29.156000;5.056243
34000;30.358000;5.744025
35000;28.688000;5.126273
36000;30.172001;5.209076
37000;28.973000;5.316789
38000;30.985001;5.903792
39000;29.542000;5.353878
40000;29.354000;4.987251
41000;29.007000;5.261462
42000;28.858999;5.739431
43000;31.601000;6.144085
44000;30.538000;5.371458
45000;30.858999;5.599564
46000;29.437000;5.242906
47000;30.191000;5.671907
48000;29.535000;5.329988
49000;30.981001;5.643637
50000;29.922001;5.681896
